x,y
-301.6870,-201.8514
-303.2039,-190.5288
-303.7652,-175.3813
-303.1889,-168.7257
-299.4416,-159.3619
-292.2619,-152.2838
-287.0933,-149.4711
-281.4843,-147.7139
-252.9599,-145.1431
-181.8579,-134.7209
-126.7124,-126.6830
